"age","Australia_Male","Austria_Male","Belgium_Male","Bulgaria_Male","Canada_Male","Czech Republic_Male","Denmark_Male","Estonia_Male","Finland_Male","France_Male","Germany_Male","Hungary_Male","Ireland_Male","Italy_Male","Japan_Male","Latvia_Male","Lithuania_Male","Luxembourg_Male","Netherlands_Male","Poland_Male","Portugal_Male","Russia_Male","Slovakia_Male","Slovenia_Male","Spain_Male","Sweden_Male","United Kingdom_Male","United States_Male","Australia_Female","Austria_Female","Belgium_Female","Bulgaria_Female","Canada_Female","Czech Republic_Female","Denmark_Female","Estonia_Female","Finland_Female","France_Female","Germany_Female","Hungary_Female","Ireland_Female","Italy_Female","Japan_Female","Latvia_Female","Lithuania_Female","Luxembourg_Female","Netherlands_Female","Poland_Female","Portugal_Female","Russia_Female","Slovakia_Female","Slovenia_Female","Spain_Female","Sweden_Female","United Kingdom_Female","United States_Female"
65,87488,83593,83437,69090,86338,77999,83314,66899,81708,82619,84041,66697,85087,87677,86892,61567,60097,85408,87339,70954,82033,50886,71676,81006,85573,88140,85417,80305,92409,91640,90442,85861,91055,89638,89400,87879,91335,91669,91299,84555,90926,93123,93652,83877,84739,91007,90919,87609,91827,79521,87770,91493,93440,92211,90551,87762
66,86546,82290,82144,67059,85204,76102,81952,64718,80243,81427,82736,64522,83830,86567,85792,59285,57620,84584,86138,68925,80672,48629,69622,79407,84374,87052,84274,79006,91795,90904,89619,84847,90320,88650,88408,86895,90629,91087,90566,83461,90245,92549,93187,82865,83754,90218,90177,86611,91161,78215,86686,90736,92939,91491,89762,86854
67,85472,80941,80730,64906,84000,74175,80586,62499,78764,80183,81404,62319,82617,85388,84688,57061,55477,83282,84907,66965,79383,46650,67521,77838,83117,85921,83005,77579,91163,90140,88813,83665,89526,87666,87309,85845,89979,90468,89812,82288,89431,91903,92701,81676,82686,89360,89414,85594,90504,76956,85627,89925,92410,90770,88891,85855
68,84309,79455,79329,62771,82684,72196,79007,60182,77269,78906,79931,60031,81120,84158,83459,54707,53167,81892,83530,64917,77999,44168,65333,75944,81851,84755,81645,76150,90378,89304,87975,82377,88699,86600,86258,84826,89160,89800,88971,80945,88549,91219,92150,80413,81496,88693,88587,84508,89765,75351,84426,89073,91831,89890,87985,84807
69,83111,77977,77844,60342,81234,70162,77429,58076,75777,77590,78392,57740,79438,82765,82173,52274,51019,80394,82008,62776,76581,41919,63079,74136,80437,83498,80151,74612,89589,88486,87084,80901,87779,85439,85114,83931,88417,89125,88129,79593,87693,90472,91555,79096,80257,87786,87679,83367,88932,73809,83231,88113,91219,89055,86979,83687
70,81772,76390,76136,57955,79712,67864,75680,55757,74015,76136,76700,55385,77632,81295,80789,49918,48706,78773,80475,60492,74961,39571,60540,72149,78846,81991,78505,73003,88809,87602,86052,79242,86829,84034,83779,82627,87516,88348,87168,78032,86700,89651,90917,77638,78822,86870,86656,82106,88084,72103,81910,87275,90499,88031,85879,82486
71,80244,74729,74378,55554,78104,65636,73704,53046,72224,74610,74907,53004,75857,79728,79364,47486,46553,76960,78694,58161,73174,37074,58078,70064,77215,80477,76808,71268,87894,86589,84979,77511,85702,82636,82410,81227,86525,87531,86144,76351,85432,88774,90236,76095,77500,86228,85577,80743,87115,70136,80376,86280,89739,86916,84633,81163
72,78663,72999,72507,52982,76460,63190,71786,50734,70408,73002,73019,50486,73883,77965,77742,45018,44430,74963,76829,55766,71343,34747,55321,68131,75476,78765,74953,69436,86854,85567,83822,75610,84529,81096,81039,79726,85529,86661,85027,74644,84202,87748,89442,74431,75962,85243,84398,79265,86003,68165,78675,85013,88836,85762,83313,79739
73,76927,71078,70518,50397,74623,60624,69610,48235,68402,71212,70966,47994,71764,76138,75978,42548,42300,72655,74741,53308,69323,32378,52602,65824,73554,76938,72930,67496,85656,84398,82477,73577,83191,79412,79346,78065,84406,85679,83755,72818,82650,86611,88582,72604,74350,83762,83086,77689,84817,65926,76621,83529,87794,84455,81877,78230
74,74986,68906,68342,47780,72614,58074,67271,45606,66072,69356,68781,45484,69314,74048,74073,40000,40043,70859,72433,50760,67081,29974,49858,63442,71509,74843,70779,65436,84417,82977,81211,71208,81791,77617,77532,76151,83020,84595,82352,70837,80979,85378,87612,70530,72420,82152,81695,75942,83444,63492,74446,82011,86657,82935,80298,76591
